category,course,lesson,txt_path,video_path,has_sd,has_ld,audio_path,youtube_vid,title,short_title
大学演讲,02 佛教眼中的神秘,佛教眼中的物质世界-演讲-复旦大学,大学演讲/02 佛教眼中的神秘/佛教眼中的物质世界-演讲-复旦大学.html,,0.0,0.0,大学演讲/02 佛教眼中的神秘/佛教眼中的物质世界-演讲-复旦大学.m4a,wPy3GNcnJxE,复旦大学,演讲：佛教眼中的物质世界
大学演讲,02 佛教眼中的神秘,佛教眼中的物质世界-问答-复旦大学,大学演讲/02 佛教眼中的神秘/佛教眼中的物质世界-问答-复旦大学.html,,0.0,0.0,大学演讲/02 佛教眼中的神秘/佛教眼中的物质世界-问答-复旦大学.m4a,0l5KW4ASXAw,复旦大学,问答
大学演讲,02 佛教眼中的神秘,佛法的生命科学观-演讲-南京大学,大学演讲/02 佛教眼中的神秘/佛法的生命科学观-演讲-南京大学.html,,0.0,0.0,大学演讲/02 佛教眼中的神秘/佛法的生命科学观-演讲-南京大学.m4a,OSK7K3FicYs,南京大学,演讲：佛法的生命科学观
大学演讲,02 佛教眼中的神秘,佛法的生命科学观-问答-南京大学,大学演讲/02 佛教眼中的神秘/佛法的生命科学观-问答-南京大学.html,,0.0,0.0,大学演讲/02 佛教眼中的神秘/佛法的生命科学观-问答-南京大学.m4a,0Re0SGebNYo,南京大学,问答
大学演讲,02 佛教眼中的神秘,藏传佛教的思想与现实生活-演讲-中国人民大学,大学演讲/02 佛教眼中的神秘/藏传佛教的思想与现实生活-演讲-中国人民大学.html,,0.0,0.0,大学演讲/02 佛教眼中的神秘/藏传佛教的思想与现实生活-演讲-中国人民大学.m4a,95ewwLrLokE,中国人民大学,演讲：藏传佛教的思想与现实生活
大学演讲,02 佛教眼中的神秘,藏传佛教的思想与现实生活-问答-中国人民大学,大学演讲/02 佛教眼中的神秘/藏传佛教的思想与现实生活-问答-中国人民大学.html,,0.0,0.0,大学演讲/02 佛教眼中的神秘/藏传佛教的思想与现实生活-问答-中国人民大学.m4a,RrswNBtULsY,中国人民大学,问答
大学演讲,02 佛教眼中的神秘,红尘苦海 有爱共渡-演讲-慈慧公益基金会,大学演讲/02 佛教眼中的神秘/红尘苦海 有爱共渡-演讲-慈慧公益基金会.html,,0.0,0.0,大学演讲/02 佛教眼中的神秘/红尘苦海 有爱共渡-演讲-慈慧公益基金会.m4a,N9OmUcPjBRc,慈慧公益基金会,演讲：红尘苦海 有爱共渡
对话,02 在美国大学教佛法-索达吉堪布对话本杰明教授,对话本杰明教授-片头,,,0.0,0.0,对话/02 在美国大学教佛法-索达吉堪布对话本杰明教授/对话本杰明教授-片头.m4a,7KK-XOf_5Ig,索达吉堪布对话本杰明教授,片头
对话,02 在美国大学教佛法-索达吉堪布对话本杰明教授,对话本杰明教授1-佛门：其实你可以求得更多,,,0.0,0.0,对话/02 在美国大学教佛法-索达吉堪布对话本杰明教授/对话本杰明教授1-佛门：其实你可以求得更多.m4a,FrKNt_1-pL4,索达吉堪布对话本杰明教授,1、佛门：其实你可以求得更多
对话,02 在美国大学教佛法-索达吉堪布对话本杰明教授,对话本杰明教授2-问“三乘”之源,,,0.0,0.0,对话/02 在美国大学教佛法-索达吉堪布对话本杰明教授/对话本杰明教授2-问“三乘”之源.m4a,v4-XRXZWeqY,索达吉堪布对话本杰明教授,2、问“三乘”之源
对话,02 在美国大学教佛法-索达吉堪布对话本杰明教授,对话本杰明教授3-研究藏文化，“几辈子也不会无聊”,,,0.0,0.0,对话/02 在美国大学教佛法-索达吉堪布对话本杰明教授/对话本杰明教授3-研究藏文化，“几辈子也不会无聊”.m4a,U8Jxyao6ZUs,索达吉堪布对话本杰明教授,3、研究藏文化，“几辈子也不会无聊”
对话,02 在美国大学教佛法-索达吉堪布对话本杰明教授,对话本杰明教授4-转世轮回——你信吗？,,,0.0,0.0,对话/02 在美国大学教佛法-索达吉堪布对话本杰明教授/对话本杰明教授4-转世轮回——你信吗？.m4a,YYPPsbFrjTQ,索达吉堪布对话本杰明教授,4、转世轮回——你信吗？
对话,02 在美国大学教佛法-索达吉堪布对话本杰明教授,对话本杰明教授5-索达吉堪布：如果我来美国上大学,,,0.0,0.0,对话/02 在美国大学教佛法-索达吉堪布对话本杰明教授/对话本杰明教授5-索达吉堪布：如果我来美国上大学.m4a,uRDkXzWyfzE,索达吉堪布对话本杰明教授,5、索达吉堪布：如果我来美国上大学
对话,02 在美国大学教佛法-索达吉堪布对话本杰明教授,对话本杰明教授6-当代大学生与佛法：中外对比谈,,,0.0,0.0,对话/02 在美国大学教佛法-索达吉堪布对话本杰明教授/对话本杰明教授6-当代大学生与佛法：中外对比谈.m4a,_nZqVUl2uzw,索达吉堪布对话本杰明教授,6、当代大学生与佛法：中外对比谈
社会演讲,02 美国 帕萨迪纳苏格兰仪式中心-通往净土的阶梯,通往净土的阶梯-演讲-美国帕萨迪纳苏格兰仪式中心,,,0.0,0.0,社会演讲/02 美国 帕萨迪纳苏格兰仪式中心-通往净土的阶梯/通往净土的阶梯-演讲-美国帕萨迪纳苏格兰仪式中心.m4a,IIVb-aC7xtE,通往净土的阶梯,演讲
社会演讲,02 美国 帕萨迪纳苏格兰仪式中心-通往净土的阶梯,通往净土的阶梯-问答-美国帕萨迪纳苏格兰仪式中心,,,0.0,0.0,社会演讲/02 美国 帕萨迪纳苏格兰仪式中心-通往净土的阶梯/通往净土的阶梯-问答-美国帕萨迪纳苏格兰仪式中心.m4a,xbhmK8W0n0c,通往净土的阶梯,问答
大学演讲,03 心病还须心药医,关爱生命 关爱环境-演讲-首届“世界关爱论坛”,大学演讲/03 心病还须心药医/关爱生命 关爱环境-演讲-首届“世界关爱论坛”.html,,0.0,0.0,大学演讲/03 心病还须心药医/关爱生命 关爱环境-演讲-首届“世界关爱论坛”.m4a,0Vw52q-D_vs,首届“世界关爱论坛”,演讲：关爱生命 关爱环境
大学演讲,03 心病还须心药医,大乘佛教的现代意义-演讲-浙江大学,大学演讲/03 心病还须心药医/大乘佛教的现代意义-演讲-浙江大学.html,,0.0,0.0,大学演讲/03 心病还须心药医/大乘佛教的现代意义-演讲-浙江大学.m4a,woW5J-dnojs,浙江大学,演讲：大乘佛教的现代意义
大学演讲,03 心病还须心药医,大乘佛教的现代意义-问答-浙江大学,大学演讲/03 心病还须心药医/大乘佛教的现代意义-问答-浙江大学.html,,0.0,0.0,大学演讲/03 心病还须心药医/大乘佛教的现代意义-问答-浙江大学.m4a,3T_PR3rZSGw,浙江大学,问答
大学演讲,03 心病还须心药医,新时代需要心灵的教育-演讲-华中师范大学,大学演讲/03 心病还须心药医/新时代需要心灵的教育-演讲-华中师范大学.html,,0.0,0.0,大学演讲/03 心病还须心药医/新时代需要心灵的教育-演讲-华中师范大学.m4a,4d2IObzDJaE,华中师范大学,演讲：新时代需要心灵的教育
大学演讲,03 心病还须心药医,新时代需要心灵的教育-问答-华中师范大学,大学演讲/03 心病还须心药医/新时代需要心灵的教育-问答-华中师范大学.html,,0.0,0.0,大学演讲/03 心病还须心药医/新时代需要心灵的教育-问答-华中师范大学.m4a,SJJ23lC2wS8,华中师范大学,问答
大学演讲,03 心病还须心药医,解疑除惑 教学相长-演讲-华中师范大学,大学演讲/03 心病还须心药医/解疑除惑 教学相长-演讲-华中师范大学.html,,0.0,0.0,大学演讲/03 心病还须心药医/解疑除惑 教学相长-演讲-华中师范大学.m4a,p9SATlyBdBM,华中师范大学,演讲：解疑除惑 教学相长
大学演讲,03 心病还须心药医,佛教消除烦恼的理论与方法-演讲-中山大学,大学演讲/03 心病还须心药医/佛教消除烦恼的理论与方法-演讲-中山大学.html,,0.0,0.0,大学演讲/03 心病还须心药医/佛教消除烦恼的理论与方法-演讲-中山大学.m4a,W8ZsojZXTus,中山大学,演讲：佛教消除烦恼的理论与方法
对话,03 缘聚纽约谈藏密-索达吉堪布对话滕华睿教授,对话滕华睿教授-片头,,,0.0,0.0,对话/03 缘聚纽约谈藏密-索达吉堪布对话滕华睿教授/对话滕华睿教授-片头.m4a,nkcud1dpS9s,索达吉堪布对话滕华睿教授,片头
对话,03 缘聚纽约谈藏密-索达吉堪布对话滕华睿教授,对话滕华睿教授1-是什么让他迷上了你，藏传佛教？,,,0.0,0.0,对话/03 缘聚纽约谈藏密-索达吉堪布对话滕华睿教授/对话滕华睿教授1-是什么让他迷上了你，藏传佛教？.m4a,XjR7_wvCg1A,索达吉堪布对话滕华睿教授,1、是什么让他迷上了你，藏传佛教？
对话,03 缘聚纽约谈藏密-索达吉堪布对话滕华睿教授,对话滕华睿教授2-二十年：纽约的喇荣缘,,,0.0,0.0,对话/03 缘聚纽约谈藏密-索达吉堪布对话滕华睿教授/对话滕华睿教授2-二十年：纽约的喇荣缘.m4a,mB8RnAkRRuI,索达吉堪布对话滕华睿教授,2、二十年：纽约的喇荣缘
对话,03 缘聚纽约谈藏密-索达吉堪布对话滕华睿教授,对话滕华睿教授3-“藏漂”史今谈,,,0.0,0.0,对话/03 缘聚纽约谈藏密-索达吉堪布对话滕华睿教授/对话滕华睿教授3-“藏漂”史今谈.m4a,QwBOeEBnmXw,索达吉堪布对话滕华睿教授,3、“藏漂”史今谈
对话,03 缘聚纽约谈藏密-索达吉堪布对话滕华睿教授,对话滕华睿教授4-佛子吃肉——赦无罪？,,,0.0,0.0,对话/03 缘聚纽约谈藏密-索达吉堪布对话滕华睿教授/对话滕华睿教授4-佛子吃肉——赦无罪？.m4a,Q94hbMrJl5g,索达吉堪布对话滕华睿教授,4、佛子吃肉——赦无罪？
对话,03 缘聚纽约谈藏密-索达吉堪布对话滕华睿教授,对话滕华睿教授5-居士法师——佛教未来趋势？,,,0.0,0.0,对话/03 缘聚纽约谈藏密-索达吉堪布对话滕华睿教授/对话滕华睿教授5-居士法师——佛教未来趋势？.m4a,5K8nvQCyQBU,索达吉堪布对话滕华睿教授,5、居士法师——佛教未来趋势？
对话,03 缘聚纽约谈藏密-索达吉堪布对话滕华睿教授,对话滕华睿教授6-纽约客：别样视角读藏史,,,0.0,0.0,对话/03 缘聚纽约谈藏密-索达吉堪布对话滕华睿教授/对话滕华睿教授6-纽约客：别样视角读藏史.m4a,5MblwIZgJ_Q,索达吉堪布对话滕华睿教授,6、纽约客：别样视角读藏史
社会演讲,03 青海红十字医院-佛学思想与人文关怀,佛学思想与人文关怀-演讲-青海红十字医院,,,0.0,0.0,社会演讲/03 青海红十字医院-佛学思想与人文关怀/佛学思想与人文关怀-演讲-青海红十字医院.m4a,2qAY9IqXN8k,佛学思想与人文关怀,演讲
社会演讲,03 青海红十字医院-佛学思想与人文关怀,佛学思想与人文关怀-问答-青海红十字医院,,,0.0,0.0,社会演讲/03 青海红十字医院-佛学思想与人文关怀/佛学思想与人文关怀-问答-青海红十字医院.m4a,kuFoN1lZcqc,佛学思想与人文关怀,问答
对话,04 修行者说-索达吉堪布对话范彼德教授,对话范彼德教授-片头,,,0.0,0.0,对话/04 修行者说-索达吉堪布对话范彼德教授/对话范彼德教授-片头.m4a,SXabxNkg9qE,索达吉堪布对话范彼德教授,片头
对话,04 修行者说-索达吉堪布对话范彼德教授,对话范彼德教授1-藏传佛教，为何与众不同,,,0.0,0.0,对话/04 修行者说-索达吉堪布对话范彼德教授/对话范彼德教授1-藏传佛教，为何与众不同.m4a,Q2yH1mCy0mw,索达吉堪布对话范彼德教授,1、藏传佛教，为何与众不同
对话,04 修行者说-索达吉堪布对话范彼德教授,对话范彼德教授2-佛教：是宗教，亦是哲学,,,0.0,0.0,对话/04 修行者说-索达吉堪布对话范彼德教授/对话范彼德教授2-佛教：是宗教，亦是哲学.m4a,vlkTHy7S5SI,索达吉堪布对话范彼德教授,2、佛教：是宗教，亦是哲学
对话,04 修行者说-索达吉堪布对话范彼德教授,对话范彼德教授3-人间佛教：当生活就是佛法,,,0.0,0.0,对话/04 修行者说-索达吉堪布对话范彼德教授/对话范彼德教授3-人间佛教：当生活就是佛法.m4a,bW_VnKAaOow,索达吉堪布对话范彼德教授,3、人间佛教：当生活就是佛法
对话,04 修行者说-索达吉堪布对话范彼德教授,对话范彼德教授4-常于闹世行，不失寂静心,,,0.0,0.0,对话/04 修行者说-索达吉堪布对话范彼德教授/对话范彼德教授4-常于闹世行，不失寂静心.m4a,gKJwM6dnDtk,索达吉堪布对话范彼德教授,4、常于闹世行，不失寂静心
对话,04 修行者说-索达吉堪布对话范彼德教授,对话范彼德教授5-当修行者面对现代化浪潮,,,0.0,0.0,对话/04 修行者说-索达吉堪布对话范彼德教授/对话范彼德教授5-当修行者面对现代化浪潮.m4a,qo0VLFxruk0,索达吉堪布对话范彼德教授,5、当修行者面对现代化浪潮
对话,04 修行者说-索达吉堪布对话范彼德教授,对话范彼德教授6-物质·心灵：平衡在中道,,,0.0,0.0,对话/04 修行者说-索达吉堪布对话范彼德教授/对话范彼德教授6-物质·心灵：平衡在中道.m4a,AfoGCjXxojQ,索达吉堪布对话范彼德教授,6、物质·心灵：平衡在中道
对话,04 修行者说-索达吉堪布对话范彼德教授,对话范彼德教授7-佛教也重男轻女？,,,0.0,0.0,对话/04 修行者说-索达吉堪布对话范彼德教授/对话范彼德教授7-佛教也重男轻女？.m4a,ye5ZnM0Rjjs,索达吉堪布对话范彼德教授,7、佛教也重男轻女？
